source,destination,distance_km,travel_time_minutes,alt_distance_km,alt_travel_time_minutes,time_of_day,stop1,stop1_traffic,stop1_alt_route,stop1_weather,stop1_road_condition,stop1_passenger_demand_in,stop1_passenger_demand_out,stop2,stop2_traffic,stop2_alt_route,stop2_weather,stop2_road_condition,stop2_passenger_demand_in,stop2_passenger_demand_out,stop3,stop3_traffic,stop3_alt_route,stop3_weather,stop3_road_condition,stop3_passenger_demand_in,stop3_passenger_demand_out,stop4,stop4_traffic,stop4_alt_route,stop4_weather,stop4_road_condition,stop4_passenger_demand_in,stop4_passenger_demand_out,stop5,stop5_traffic,stop5_alt_route,stop5_weather,stop5_road_condition,stop5_passenger_demand_in,stop5_passenger_demand_out,stop6,stop6_traffic,stop6_alt_route,stop6_weather,stop6_road_condition,stop6_passenger_demand_in,stop6_passenger_demand_out,stop7,stop7_traffic,stop7_alt_route,stop7_weather,stop7_road_condition,stop7_passenger_demand_in,stop7_passenger_demand_out,stop8,stop8_traffic,stop8_alt_route,stop8_weather,stop8_road_condition,stop8_passenger_demand_in,stop8_passenger_demand_out,stop9,stop9_traffic,stop9_alt_route,stop9_weather,stop9_road_condition,stop9_passenger_demand_in,stop9_passenger_demand_out,stop10,stop10_traffic,stop10_alt_route,stop10_weather,stop10_road_condition,stop10_passenger_demand_in,stop10_passenger_demand_out,stop11,stop11_traffic,stop11_alt_route,stop11_weather,stop11_road_condition,stop11_passenger_demand_in,stop11_passenger_demand_out,stop12,stop12_traffic,stop12_alt_route,stop12_weather,stop12_road_condition,stop12_passenger_demand_in,stop12_passenger_demand_out
Badarpur Border (T),NHAI Building / Dwarka Sec-10 Metro Station,27.899987251761477,58,33.92372174579412,53,08:47,Jaitpur Crossing,Low,True,Cloudy,Good,13,16,Lal Kuan,High,False,Cloudy,Good,4,49,Okhla Phase 1,Moderate,True,Clear,Poor,32,30,Govind Puri Metro Station,High,True,Foggy,Moderate,45,20,Nehru Place Terminal,Low,True,Clear,Good,39,18,Panchsheel Enclave,Moderate,True,Foggy,Moderate,28,8,IIT Gate,Low,True,Clear,Poor,12,46,Munirka DDA Flats,Moderate,False,Foggy,Poor,45,6,Vasant Vihar,Low,True,Clear,Good,34,4,Palam Airport / IGI Airport T111,High,True,Clear,Moderate,23,33,Dwarka Crossing / Maharaja Agrasen Chowk,Moderate,False,Foggy,Good,50,39,Dwarka Sec-6 Telephone Exchange,High,True,Cloudy,Poor,24,49
Badarpur Border (T),NHAI Building / Dwarka Sec-10 Metro Station,34.46812774521896,85,31.082215096443377,74,15:11,Jaitpur Crossing,Low,False,Rainy,Poor,36,14,Lal Kuan,High,True,Foggy,Good,41,27,Okhla Phase 1,Moderate,False,Clear,Poor,11,13,Govind Puri Metro Station,Low,False,Rainy,Poor,28,44,Nehru Place Terminal,Moderate,False,Clear,Moderate,34,4,Panchsheel Enclave,High,True,Clear,Poor,39,4,IIT Gate,Low,True,Clear,Poor,30,32,Munirka DDA Flats,High,False,Foggy,Moderate,10,50,Vasant Vihar,Low,False,Foggy,Good,18,4,Palam Airport / IGI Airport T111,Moderate,False,Rainy,Good,47,3,Dwarka Crossing / Maharaja Agrasen Chowk,Moderate,False,Clear,Moderate,29,29,Dwarka Sec-6 Telephone Exchange,High,False,Clear,Poor,28,29
Badarpur Border (T),NHAI Building / Dwarka Sec-10 Metro Station,34.81981442968454,83,29.4792959578066,51,10:09,Jaitpur Crossing,High,False,Foggy,Good,30,22,Lal Kuan,High,True,Foggy,Good,25,26,Okhla Phase 1,High,False,Rainy,Good,22,9,Govind Puri Metro Station,Low,True,Rainy,Poor,18,30,Nehru Place Terminal,Moderate,False,Rainy,Poor,27,5,Panchsheel Enclave,High,True,Cloudy,Moderate,50,7,IIT Gate,Moderate,True,Foggy,Moderate,46,6,Munirka DDA Flats,High,True,Foggy,Good,25,18,Vasant Vihar,Low,True,Cloudy,Poor,16,25,Palam Airport / IGI Airport T111,High,False,Cloudy,Good,37,36,Dwarka Crossing / Maharaja Agrasen Chowk,Moderate,False,Foggy,Poor,2,47,Dwarka Sec-6 Telephone Exchange,Low,False,Clear,Moderate,4,7
Badarpur Border (T),NHAI Building / Dwarka Sec-10 Metro Station,33.31819215663356,73,27.722496808000827,60,05:55,Jaitpur Crossing,Moderate,True,Foggy,Moderate,11,10,Lal Kuan,High,False,Clear,Poor,4,42,Okhla Phase 1,High,False,Foggy,Good,30,42,Govind Puri Metro Station,High,True,Clear,Moderate,0,43,Nehru Place Terminal,High,True,Rainy,Poor,7,26,Panchsheel Enclave,High,True,Foggy,Good,31,47,IIT Gate,High,True,Clear,Moderate,39,17,Munirka DDA Flats,Low,False,Clear,Good,2,47,Vasant Vihar,High,True,Clear,Good,32,47,Palam Airport / IGI Airport T111,High,True,Clear,Poor,31,31,Dwarka Crossing / Maharaja Agrasen Chowk,High,True,Rainy,Moderate,34,15,Dwarka Sec-6 Telephone Exchange,Moderate,True,Rainy,Good,18,36
Badarpur Border (T),NHAI Building / Dwarka Sec-10 Metro Station,33.938577189450434,84,29.34766811523417,83,08:53,Jaitpur Crossing,High,True,Clear,Good,25,2,Lal Kuan,Low,True,Foggy,Poor,24,49,Okhla Phase 1,High,False,Rainy,Poor,48,38,Govind Puri Metro Station,High,True,Foggy,Good,33,47,Nehru Place Terminal,High,True,Cloudy,Poor,38,14,Panchsheel Enclave,Moderate,True,Foggy,Good,1,43,IIT Gate,Moderate,True,Clear,Good,16,9,Munirka DDA Flats,Moderate,False,Clear,Poor,10,36,Vasant Vihar,High,False,Rainy,Moderate,48,11,Palam Airport / IGI Airport T111,High,False,Rainy,Moderate,26,10,Dwarka Crossing / Maharaja Agrasen Chowk,Low,False,Cloudy,Good,11,7,Dwarka Sec-6 Telephone Exchange,High,True,Cloudy,Poor,16,46
Badarpur Border (T),NHAI Building / Dwarka Sec-10 Metro Station,28.558018809248985,82,28.38732255794589,63,13:32,Jaitpur Crossing,Low,False,Cloudy,Poor,26,10,Lal Kuan,High,False,Rainy,Moderate,20,30,Okhla Phase 1,High,False,Foggy,Poor,23,48,Govind Puri Metro Station,Moderate,True,Clear,Good,45,4,Nehru Place Terminal,Moderate,True,Cloudy,Moderate,12,41,Panchsheel Enclave,High,True,Cloudy,Good,10,36,IIT Gate,High,True,Rainy,Moderate,11,12,Munirka DDA Flats,Low,True,Rainy,Moderate,27,13,Vasant Vihar,Moderate,True,Foggy,Moderate,45,1,Palam Airport / IGI Airport T111,Low,False,Cloudy,Good,5,24,Dwarka Crossing / Maharaja Agrasen Chowk,Low,True,Rainy,Good,44,43,Dwarka Sec-6 Telephone Exchange,Low,False,Clear,Good,34,12
Badarpur Border (T),NHAI Building / Dwarka Sec-10 Metro Station,26.6455455446429,57,29.28589830455686,55,02:20,Jaitpur Crossing,High,False,Clear,Poor,13,10,Lal Kuan,Moderate,False,Clear,Good,29,14,Okhla Phase 1,Moderate,True,Cloudy,Moderate,10,30,Govind Puri Metro Station,Low,False,Clear,Poor,13,12,Nehru Place Terminal,Low,True,Foggy,Poor,5,22,Panchsheel Enclave,High,False,Foggy,Moderate,41,24,IIT Gate,Moderate,False,Rainy,Moderate,41,37,Munirka DDA Flats,Moderate,False,Cloudy,Poor,48,10,Vasant Vihar,Moderate,True,Cloudy,Poor,27,13,Palam Airport / IGI Airport T111,Low,False,Cloudy,Good,23,9,Dwarka Crossing / Maharaja Agrasen Chowk,High,True,Foggy,Good,24,43,Dwarka Sec-6 Telephone Exchange,Low,True,Cloudy,Moderate,6,46
Badarpur Border (T),NHAI Building / Dwarka Sec-10 Metro Station,34.99889318245783,53,31.93586696968953,55,01:48,Jaitpur Crossing,High,True,Foggy,Good,38,40,Lal Kuan,Low,True,Rainy,Poor,24,40,Okhla Phase 1,Low,False,Clear,Moderate,10,36,Govind Puri Metro Station,Moderate,False,Clear,Moderate,16,6,Nehru Place Terminal,Moderate,True,Clear,Moderate,38,48,Panchsheel Enclave,High,False,Foggy,Poor,25,46,IIT Gate,Low,False,Cloudy,Poor,13,28,Munirka DDA Flats,Low,True,Cloudy,Moderate,21,3,Vasant Vihar,Moderate,False,Clear,Good,44,29,Palam Airport / IGI Airport T111,Moderate,False,Clear,Poor,35,33,Dwarka Crossing / Maharaja Agrasen Chowk,Low,False,Foggy,Moderate,9,13,Dwarka Sec-6 Telephone Exchange,Low,False,Foggy,Good,4,13
Badarpur Border (T),NHAI Building / Dwarka Sec-10 Metro Station,32.52470619314394,67,25.738673766492823,57,20:27,Jaitpur Crossing,Low,True,Foggy,Good,44,26,Lal Kuan,High,False,Cloudy,Good,20,29,Okhla Phase 1,Low,True,Rainy,Good,15,1,Govind Puri Metro Station,Low,True,Foggy,Good,0,9,Nehru Place Terminal,Moderate,False,Rainy,Good,34,22,Panchsheel Enclave,High,True,Clear,Poor,5,5,IIT Gate,Low,True,Clear,Moderate,38,0,Munirka DDA Flats,Moderate,True,Clear,Moderate,43,3,Vasant Vihar,Low,True,Rainy,Good,16,37,Palam Airport / IGI Airport T111,High,True,Cloudy,Moderate,16,0,Dwarka Crossing / Maharaja Agrasen Chowk,High,False,Foggy,Good,48,29,Dwarka Sec-6 Telephone Exchange,Low,False,Rainy,Good,9,15
Badarpur Border (T),NHAI Building / Dwarka Sec-10 Metro Station,29.90257799113598,68,29.672487749526617,83,18:19,Jaitpur Crossing,Moderate,False,Cloudy,Poor,5,47,Lal Kuan,High,False,Rainy,Moderate,18,24,Okhla Phase 1,Low,False,Rainy,Moderate,30,15,Govind Puri Metro Station,Moderate,True,Rainy,Poor,6,10,Nehru Place Terminal,Moderate,False,Clear,Moderate,15,0,Panchsheel Enclave,Low,True,Cloudy,Moderate,30,16,IIT Gate,High,True,Cloudy,Good,40,34,Munirka DDA Flats,Moderate,False,Cloudy,Poor,17,19,Vasant Vihar,Low,False,Rainy,Good,9,6,Palam Airport / IGI Airport T111,High,True,Cloudy,Poor,42,33,Dwarka Crossing / Maharaja Agrasen Chowk,Low,True,Cloudy,Poor,45,49,Dwarka Sec-6 Telephone Exchange,High,True,Clear,Poor,28,33
Badarpur Border (T),NHAI Building / Dwarka Sec-10 Metro Station,31.28599034129938,90,32.24846812768036,66,08:24,Jaitpur Crossing,Low,True,Foggy,Poor,18,45,Lal Kuan,Moderate,True,Foggy,Moderate,26,29,Okhla Phase 1,Low,True,Cloudy,Moderate,36,28,Govind Puri Metro Station,Low,True,Rainy,Poor,8,42,Nehru Place Terminal,High,True,Cloudy,Moderate,32,16,Panchsheel Enclave,Low,True,Foggy,Good,11,41,IIT Gate,Moderate,False,Foggy,Poor,12,30,Munirka DDA Flats,High,True,Rainy,Moderate,6,18,Vasant Vihar,High,False,Clear,Poor,46,11,Palam Airport / IGI Airport T111,Low,False,Foggy,Good,8,40,Dwarka Crossing / Maharaja Agrasen Chowk,Moderate,True,Foggy,Poor,43,29,Dwarka Sec-6 Telephone Exchange,Low,True,Clear,Good,17,41
Badarpur Border (T),NHAI Building / Dwarka Sec-10 Metro Station,33.45135571349105,64,30.35515673735972,55,14:09,Jaitpur Crossing,High,False,Cloudy,Moderate,46,16,Lal Kuan,Moderate,False,Cloudy,Good,21,36,Okhla Phase 1,Moderate,True,Clear,Poor,40,42,Govind Puri Metro Station,Low,True,Rainy,Moderate,41,38,Nehru Place Terminal,High,True,Clear,Poor,24,15,Panchsheel Enclave,High,True,Rainy,Moderate,0,9,IIT Gate,Moderate,True,Cloudy,Good,12,2,Munirka DDA Flats,High,False,Rainy,Moderate,44,17,Vasant Vihar,Moderate,False,Rainy,Poor,20,9,Palam Airport / IGI Airport T111,Low,True,Rainy,Moderate,18,2,Dwarka Crossing / Maharaja Agrasen Chowk,High,True,Cloudy,Moderate,49,24,Dwarka Sec-6 Telephone Exchange,Low,True,Clear,Good,2,17
Badarpur Border (T),NHAI Building / Dwarka Sec-10 Metro Station,32.2810853043937,89,34.978928874983495,67,05:10,Jaitpur Crossing,Low,True,Foggy,Poor,6,43,Lal Kuan,Low,True,Clear,Poor,50,1,Okhla Phase 1,High,True,Foggy,Good,10,4,Govind Puri Metro Station,Moderate,True,Rainy,Moderate,1,8,Nehru Place Terminal,Moderate,False,Cloudy,Poor,16,9,Panchsheel Enclave,Low,True,Rainy,Moderate,3,26,IIT Gate,Low,True,Cloudy,Poor,42,10,Munirka DDA Flats,Low,False,Rainy,Good,41,48,Vasant Vihar,Moderate,False,Cloudy,Moderate,16,43,Palam Airport / IGI Airport T111,Moderate,True,Rainy,Poor,10,25,Dwarka Crossing / Maharaja Agrasen Chowk,Low,True,Cloudy,Moderate,32,44,Dwarka Sec-6 Telephone Exchange,Moderate,False,Rainy,Good,44,2
Badarpur Border (T),NHAI Building / Dwarka Sec-10 Metro Station,33.80140457544695,71,31.72511224883202,86,04:21,Jaitpur Crossing,High,True,Clear,Moderate,30,37,Lal Kuan,Moderate,True,Rainy,Poor,47,29,Okhla Phase 1,Moderate,False,Cloudy,Good,38,15,Govind Puri Metro Station,Moderate,True,Clear,Moderate,43,33,Nehru Place Terminal,High,False,Cloudy,Moderate,39,40,Panchsheel Enclave,Low,False,Cloudy,Good,29,11,IIT Gate,Moderate,False,Rainy,Poor,44,38,Munirka DDA Flats,Low,False,Rainy,Good,23,8,Vasant Vihar,High,True,Clear,Good,35,45,Palam Airport / IGI Airport T111,Moderate,True,Foggy,Moderate,9,12,Dwarka Crossing / Maharaja Agrasen Chowk,Moderate,True,Clear,Poor,32,29,Dwarka Sec-6 Telephone Exchange,Low,False,Rainy,Poor,20,23
Badarpur Border (T),NHAI Building / Dwarka Sec-10 Metro Station,28.73663482509823,54,28.704691671713952,62,20:46,Jaitpur Crossing,Low,True,Foggy,Good,39,26,Lal Kuan,High,True,Cloudy,Poor,42,22,Okhla Phase 1,Moderate,False,Cloudy,Poor,19,42,Govind Puri Metro Station,High,False,Clear,Good,30,7,Nehru Place Terminal,Low,True,Foggy,Good,19,29,Panchsheel Enclave,High,False,Foggy,Moderate,39,29,IIT Gate,Low,True,Rainy,Moderate,43,50,Munirka DDA Flats,Moderate,False,Clear,Good,7,38,Vasant Vihar,Moderate,True,Clear,Good,30,34,Palam Airport / IGI Airport T111,Low,False,Clear,Moderate,48,6,Dwarka Crossing / Maharaja Agrasen Chowk,Moderate,True,Cloudy,Good,29,22,Dwarka Sec-6 Telephone Exchange,Moderate,True,Rainy,Moderate,34,7
Badarpur Border (T),NHAI Building / Dwarka Sec-10 Metro Station,29.384762930598043,69,32.56251860016247,55,13:24,Jaitpur Crossing,High,True,Clear,Moderate,31,27,Lal Kuan,Moderate,False,Clear,Moderate,3,27,Okhla Phase 1,Moderate,False,Rainy,Good,47,50,Govind Puri Metro Station,Low,True,Cloudy,Poor,13,20,Nehru Place Terminal,Low,False,Foggy,Good,24,26,Panchsheel Enclave,Moderate,False,Clear,Good,42,43,IIT Gate,Moderate,False,Clear,Good,24,15,Munirka DDA Flats,Low,True,Clear,Moderate,38,19,Vasant Vihar,Moderate,False,Cloudy,Good,15,7,Palam Airport / IGI Airport T111,Low,True,Rainy,Good,26,34,Dwarka Crossing / Maharaja Agrasen Chowk,Moderate,True,Rainy,Poor,34,3,Dwarka Sec-6 Telephone Exchange,High,False,Cloudy,Good,25,11
Badarpur Border (T),NHAI Building / Dwarka Sec-10 Metro Station,31.209297957461356,66,31.743148719876512,58,14:59,Jaitpur Crossing,Low,False,Rainy,Moderate,43,46,Lal Kuan,High,False,Rainy,Good,28,44,Okhla Phase 1,Moderate,False,Clear,Good,23,33,Govind Puri Metro Station,High,True,Clear,Moderate,29,49,Nehru Place Terminal,Low,False,Rainy,Moderate,12,44,Panchsheel Enclave,Moderate,True,Cloudy,Moderate,48,18,IIT Gate,High,False,Foggy,Poor,41,2,Munirka DDA Flats,High,True,Rainy,Moderate,31,19,Vasant Vihar,Low,False,Clear,Moderate,47,5,Palam Airport / IGI Airport T111,High,True,Cloudy,Moderate,32,4,Dwarka Crossing / Maharaja Agrasen Chowk,Moderate,True,Clear,Poor,21,34,Dwarka Sec-6 Telephone Exchange,Moderate,True,Cloudy,Poor,17,4
Badarpur Border (T),NHAI Building / Dwarka Sec-10 Metro Station,27.57420821583449,60,31.142285694378117,62,02:43,Jaitpur Crossing,Moderate,False,Clear,Moderate,23,32,Lal Kuan,Low,False,Foggy,Poor,18,45,Okhla Phase 1,Low,False,Foggy,Poor,6,42,Govind Puri Metro Station,Moderate,False,Cloudy,Poor,7,14,Nehru Place Terminal,Moderate,True,Rainy,Poor,43,49,Panchsheel Enclave,Low,False,Clear,Good,49,50,IIT Gate,High,True,Foggy,Good,36,49,Munirka DDA Flats,High,False,Cloudy,Poor,1,18,Vasant Vihar,High,True,Cloudy,Good,26,41,Palam Airport / IGI Airport T111,Moderate,True,Rainy,Poor,23,19,Dwarka Crossing / Maharaja Agrasen Chowk,Low,False,Clear,Good,1,31,Dwarka Sec-6 Telephone Exchange,High,True,Foggy,Poor,17,36
